database,Times,RAM(KB),VSIZE(KB),SIZE
250000000,936,2424,8108,0
500000000,992,2424,8108,0
750000000,2002,2424,8108,0
1000000000,5345,2424,8108,0
1250000000,6359,2424,8108,0
1500000000,2928.98,2424,8108,0
1750000000,7483,2424,8108,0
2000000000,7336,2424,8108,0
