database,Times,RAM(KB),VSIZE(KB),SIZE
250000000,90.34,2275708,2281392,123807586
500000000,135.51,2802088,2807772,126243622
750000000,109.48,2802088,2807772,128724610
1000000000,104.75,2806968,2812652,129194087
1250000000,109.13,2806968,2812652,131170007
1500000000,124.91,2806968,2812652,143232567
1750000000,116.78,2806968,2812652,159178263
2000000000,104.43,2806968,2812652,159178263
