database,Times,RAM(KB),VSIZE(KB),SIZE
250000000,802.7,2548,8232,0
500000000,893.54,2548,8232,0
750000000,2123.64,2548,8232,0
1000000000,3673,2548,8232,0
1250000000,5163,2548,8232,0
1500000000,11248,2548,8232,0
1750000000,7689,2548,8232,0
2000000000,7336,2548,8232,0
